Sample,silh,depth,point_to_plane
tigerD8H_Actions5_cam1,0.6803707461203298,0.0098134262877846,
deerVMW_WalkhuntedRM_cam2,0.7106776503579957,0.0234967286565474,
raccoonVGG_Swim10_cam1,0.6720530942958944,0.0107616392282686,
bunnyQ_WalkBackRRM_cam1,0.9429870968063672,0.0055870302506567,
bullMJ6_SwimBR_cam2,0.7057303935289383,0.0086636180237222,
bear3EP_FlyIP_cam1,0.9811368624369304,0.0029575096598515,
markerman_StandingDodgeRight_cam1,0.6574635289866348,0.0041985138387676,
pumaRW_Swim15_cam1,0.6419436824321747,0.0064638749649748,
bear84Q_Hide_cam1,0.9442317873239516,0.0078495623388638,
bearVGG_Sleep0_cam2,0.7172595169207062,0.0128239796995514,
rabbit7L6_Attack1_cam2,0.8182394057512283,0.0105446730391122,
deerLO1_AttackRunRM_cam2,0.5733212055638433,0.0037799038309458,
elkML_Sleep1_cam1,0.9852488004800044,0.0069512490881606,
foxYSY_SwimBackrightRM_cam2,0.8357141514619192,0.0022737232230914,
foxYSY_Crouchright_cam2,0.873993206769228,0.0026149566983804,
deer2MB_eat2_cam2,0.6799914941191674,0.005108990354347,
rabbitFKP_Death0_cam1,0.7767282830817359,0.0082441770604678,
rabbitFKP_Sleep1_cam1,0.940828684002462,0.0048721664611043,
moose1DOG_drink_cam1,0.936809646487236,0.0023824266390874,
bear3EP_attack1_cam2,0.9444647431373596,0.0173919020593166,
foxYSY_hitfront_cam1,0.9495515316724776,0.0016086517076473,
moose1DOG_Attack3_cam1,0.9500165144602458,0.0041428199814011,
moose45D_JumpFlyIP_cam1,0.9655693014462788,0.0018949195121725,
rabbitJM6_Damaged4_cam2,0.6746067464351654,0.0228333652726947,
bear3EP_WalkbackRM_cam2,0.9243783876299858,0.0091073603543918,
foxZED_JumpupRM_cam1,0.5675151851028204,0.0170909624139312,
hogRD_Attack3_cam1,0.632408082485199,0.0067062148172408,
bucksYJL_Sleep1_cam1,0.9865634017071482,0.003493011218764,
bear84Q_WalkhuntedRM_cam2,0.7965536458151681,0.0154863728343376,
procySTEM_Attacks3_cam1,0.9252666334311168,0.0067570224792386,
elephantLN0_act1_cam2,0.9384957199746912,0.0062643326607278,
tigerD8H_Swim6_cam1,0.9208433913687863,0.0039965901475322,
deerK5L_Jump_cam1,0.941744375228882,0.0013362886490843,
hogRD_Swim0_cam2,0.5442375165946556,0.0066582121062586,
deerSPL_Sleep2_cam1,0.9721605535280906,0.0023671635821209,
rabbit7L6_Hide_cam1,0.8953746694326401,0.0035265349876135,
deerA4K_hide_cam1,0.8733351274331411,0.00348723237946,
procySTEM_Swim12_cam2,0.62767664080157,0.0100068547625971,
bear9AK_RunleftRM_cam1,0.5704121001892619,0.0085996604239982,
rabbit7L6_WalkbackRM_cam1,0.9325035537282624,0.0031238189161134,
raccoonVGG_Walk10_cam2,0.8948617812358972,0.0025658855765041,
deerFEL_WalkbackRM_cam2,0.90939018480918,0.0083619369851315,
mousey_FemalePeekAndAim_cam2,0.7606145112942426,0.0065916767075228,
deerA4K_Attack1_cam1,0.9497515153884888,0.0040244555938988,
grizzRSS_Walk4_cam2,0.8831667502721151,0.0091660973848775,
doggieMN5_Hide_cam1,0.9341293975710868,0.0024051338070421,
pumaRW_Sleep1_cam1,0.8824142193553424,0.0095999754890046,
foxYSY_Crouchbackright_cam1,0.8629729878157377,0.0035999093997816,
bear3EP_RunforwardRM_cam1,0.9187334299087524,0.0024118769273627,
foxXAT_runrightRM_cam1,0.8972714729607105,0.0024052281296462,
pumaRW_Run4_cam2,0.7179307825863361,0.0094972161168698,
rabbitJM6_Fall2_cam1,0.9811901275704548,0.00203611144637,
deer2MB_WalkbackRM_cam1,0.9241990692475264,0.0070804319317069,
foxYSY_JumplandingRM_cam2,0.9264097690582276,0.0027831065235659,
bear3EP_Hitmiddle_cam1,0.96541308760643,0.0040205226687248,
raccoonVGG_SleepLieSeat1_cam1,0.9827570409144996,0.0008474303731704,
procySTEM_WalkBack4_cam1,0.8983078459898631,0.0044545709000279,
deer2MB_RunstopRM_cam2,0.9301760506629944,0.0020923152845352,
doggieMN5_Jump_cam1,0.9452380895614624,0.0020966759117852,
doggieMN5_JumplandingRM_cam2,0.926189386844635,0.0037946409313008,
moose1DOG_WalkleftRM_cam1,0.913548930124803,0.0027647682811331,