Sample,nm,zhang,ssdr,ours
raccoonVGG_Walk10_cam2,0.7063229345496209,0.8515166072135842,0.8967479771326894,0.3759021779496813
deerK5L_Jump_cam1,0.3495584451692689,0.3874436356750675,1.1565948076166463,0.1102354772798392
deer2MB_eat2_cam2,0.4744035358794506,1.6508101526157188,0.764710811658845,0.6943399253388037
tigerD8H_Swim6_cam1,0.2690542169347266,1.609708473191202,0.9447027866153388,0.1084388581422998
bucksYJL_Sleep1_cam1,0.2083827618026708,1.2016807599100126,0.9003474889086673,0.2186318340975491
deerSPL_Sleep2_cam1,0.3101516337099061,0.7151407028691534,0.0663571144726001,0.1669856526891699
rabbitFKP_Sleep1_cam1,0.2198062183154749,0.9412244778881242,0.3642621403732206,0.2516038545894765
rabbit7L6_WalkbackRM_cam1,0.6208564730700614,0.8652410048521503,0.3576998771234396,0.4818273601521942
bear84Q_Hide_cam1,0.420148647984023,1.1690719591896022,0.943262820779184,0.5699376566134017
rabbit7L6_Hide_cam1,0.3818699422025853,0.7160968140505773,0.3677574474748168,0.4190296717149333
bullMJ6_SwimBR_cam2,0.6323576713169883,0.5181372151618358,0.4674014507146185,0.6131257313035806
pumaRW_Run4_cam2,0.4264112859568723,0.9104381324975018,0.9250558793143788,1.0189820507324372
procySTEM_Attacks3_cam1,0.3493971137482808,0.2965176207368698,0.2965176182064769,0.2199717143414643
bear3EP_RunforwardRM_cam1,0.8639520474276776,1.0091568853508752,0.8746808462233591,0.1848152170153307
hogRD_Swim0_cam2,0.6992524750185692,0.8793570032163918,0.3986159336946197,0.266698791545444
deer2MB_RunstopRM_cam2,0.363225765674493,1.0151189649874954,0.7781245553579238,0.1240158518304501
moose45D_JumpFlyIP_cam1,0.1262606005195148,1.1296693926311865,0.6235730091610148,0.5888847173923129
raccoonVGG_SleepLieSeat1_cam1,0.1690934594950503,0.9819051456544524,0.8346618967828409,0.0915685683209849
bear9AK_CrouchRightRM_cam2,0.6281409418406403,1.3562359770211456,1.0216558682769388,0.6289681317142607
elkML_Death0_cam1,0.6767704280803688,1.184984053740516,0.862127320409396,0.2422571332694013
bear84Q_WalkhuntedRM_cam2,0.790997525270455,1.0251111440084288,1.2940096472950553,0.4489351296715118
pumaRW_Sleep1_cam1,0.5422648045879268,0.8016447406740366,1.09469818647022,0.2909459195947692
pumaRW_Swim15_cam1,0.7034903151986849,0.7436607521375735,1.1519624738340082,0.2160424714948248
rabbitJM6_Damaged4_cam2,0.6295688819641183,0.9927560023751076,0.7559662733903435,0.3600221958632528
canieLTT_Death1_cam1,0.5028506454690761,0.7424118380619864,0.5199276313548494,0.823488525770513
foxYSY_SwimBackrightRM_cam2,0.4778236171531694,0.7671833179700299,0.7440644984078008,0.1202763300769859
bunnyQ_WalkBackRRM_cam1,0.4548249037853025,0.4251356971542782,0.4251356971542782,0.2113863360736702
elkML_Sleep1_cam1,0.1926010657306694,1.054434487043111,1.9796022152299344,0.233732407604808
rabbitJM6_Fall2_cam1,0.1610965458902468,1.076703737422592,0.0279438537815105,0.412416274277033
bear3EP_WalkbackRM_cam2,0.5501484643217104,0.6473325224854304,0.2793206694966736,0.2254917077841169
procySTEM_Swim12_cam2,0.7868490317713495,0.7835258899402955,0.7835258899402955,0.2666198372452128
moose1DOG_WalkleftRM_cam1,0.8531175454215206,1.2228340744712614,0.3841358241222051,0.4377950919776724
rabbitFKP_Death0_cam1,0.373509735391312,1.169500224142975,0.7731802571845476,0.2915613209222881
procySTEM_Jump1_cam1,1.1227308846917634,0.8191130301501388,0.6904774110084907,0.5804838723186537
bear9AK_RunleftRM_cam1,0.8160345965755398,1.0303700903049902,0.9422756241858036,0.4656339716288506
markerman_StandingDodgeRight_cam1,1.202395094524044,0.9414573309566628,1.1680054220958465,0.111982910399384
deerFEL_WalkbackRM_cam2,0.5837219600527535,0.9798412320798868,0.4240027227208353,0.2971616715368322
foxYSY_JumplandingRM_cam2,0.2758092247748626,0.597598348242182,0.6280354845721575,0.8178085915872875
rabbit7L6_Sleep_cam2,0.403741930562791,0.5114094978893519,0.799646688388128,0.2110390032030118
bear84Q_Agression_cam2,0.5701268109403168,0.9131565993900064,0.9131565993900064,0.4284241792585082
foxYSY_hitfront_cam1,0.2998624705981814,0.2160485896468073,0.1507573970307806,0.1575456799324407
doggieMN5_JumplandingRM_cam2,0.3336205966309207,0.895500636868252,0.6501423809741609,0.0755822847276561
rabbit7L6_Attack1_cam2,0.5661551402082935,0.7943386222689336,1.1706249937332285,0.2954087308570241
pumaRW_Swim8_cam1,0.3786914420015397,0.4648540281212882,1.1726040696038962,0.5432322806549599
elephantLN0_act1_cam2,0.2525752492833672,0.8184029014985444,0.3798941231952519,0.2864929121494587
bear3EP_Hitmiddle_cam1,0.2201493018694899,0.896012604758784,0.0922931011840708,0.1146060299989581
mousey_FemalePeekAndAim_cam2,0.4875291940541682,0.6593211017488877,0.353307308714031,0.3582966010831782
hogRD_Attack3_cam1,0.5971091977628248,0.761015032275208,0.9882140275311188,0.6410347517449885
foxYSY_Crouchright_cam2,0.6201907971104763,0.858643865685613,0.7528213577042091,0.354491648936814
raccoonVGG_Swim10_cam1,0.7972921486718696,1.1959755389732651,0.2637664527366551,0.2038988423165632
doggieMN5_Jump_cam1,0.5288654312394532,0.7081570702067949,1.4184193701257293,0.1888469857584517
bear3EP_attack1_cam2,0.2837676825867384,1.191932702259324,0.2212601673332887,0.3172781361927039
deerLO1_AttackRunRM_cam2,1.0925549898967806,0.9939035462178912,1.2397128144786085,0.2793026134090515
procySTEM_WalkTwoFeet4_cam1,0.5573070968047121,1.0322822490612915,0.9419877588929818,0.2790103625967386
prisoner_BboyUprockStart_cam1,0.2788084845065918,0.9218127598633046,0.2845394488969575,0.5377293527104554
doggieMN5_Hide_cam1,0.3000582572102218,0.2595205294461362,0.5259430938825738,0.6613311210023752
deerA4K_hide_cam1,0.3760649897941521,1.3623336381159392,1.2418994605935396,0.1367620435392682
foxXAT_runrightRM_cam1,0.8173775941057742,0.8469802762937629,0.2413406784738442,0.2546687604164531
moose1DOG_drink_cam1,0.356338627409682,1.1127244368233342,0.871845301931378,0.1479653609227141
moose45D_hate_cam1,0.278560106390921,0.2629265215632345,0.2629265215632345,0.7336723203358544
grizzRSS_Walk4_cam2,0.502179070926748,1.788943226552988,0.4037896359001799,0.4975117575447995
foxZED_JumpupRM_cam1,0.8354657095501492,0.8483376196830362,1.167831753554577,1.186819582634624
moose1DOG_Attack3_cam1,0.3646063489706258,1.1736166213792012,1.1909077484517083,0.1737255335586791
foxYSY_Crouchbackright_cam1,0.689065913186362,0.5350818696047023,0.6323805097001102,0.288889225102267
lionessHTR42_action3_cam2,0.3667434413993549,1.2133688719656472,0.6654318683258662,0.5329147026355523
bunnyQ_JumpLandingRM_cam1,1.2487908242130032,1.322181069102215,0.984867947293221,0.5470364521790497
procySTEM_SleepLieSeat2_cam1,0.3347194019943221,0.9610402813263832,0.4625667087781033,0.4268798223288768
deerVMW_WalkhuntedRM_cam2,0.3394956581583507,1.1760147982792732,0.3113727561337757,0.1810761281398151
rabbit7L6_Attack2_cam1,0.9106061936119008,1.2259234193350892,0.7523065094157741,0.8877283446383388
moose45D_JumpLandingRM_cam1,0.2528626856067495,0.8872617609114267,0.6358269394332742,0.6573422865434507
deerA4K_Attack1_cam1,0.3721047510315537,0.2295968543661515,0.2011954521874609,0.1577224686024999
bear3EP_FlyIP_cam1,0.1947214554643124,1.2418342184974267,1.1099802619555088,0.0724108034129581
bearVGG_Sleep0_cam2,0.5016048266226876,0.7593641164468076,1.3397167026479215,0.2986852487789408
foxXAT_Attack2_cam1,0.2438963259963394,1.4239013013736632,0.2382580961034599,0.2440631017505879
procySTEM_WalkBack4_cam1,0.5599876985982832,0.6699303129167995,0.8013489515107076,0.4518821623669733
deer2MB_WalkbackRM_cam1,0.415539673044084,0.94993102683877,0.3038397323864961,0.0778457178140966
tigerD8H_Actions5_cam1,0.65407646289941,1.040024718328044,0.3885263773991457,0.3232747610947583
deer2MB_RunstopRM_cam2,0.36322576567449305,1.0151189649874954,0.7781245553579238,0.12401585183045012